GOOGLE_time,GOOGLE_Open,GOOGLE_High,GOOGLE_Low,GOOGLE_Close,GOOGLE_Volume,GOOGLE_Currency
19/02/2010 00:00,270.5,272.28,270.11,270.84,4815129,USD
22/02/2010 00:00,273.87,274.02,270.76,271.66,4124399,USD
23/02/2010 00:00,272.06,272.08,266.41,267.8,5512453,USD
24/02/2010 00:00,267.46,269.22,265.52,266,4407325,USD
25/02/2010 00:00,263.76,264.5,260.25,263.47,6147637,USD
26/02/2010 00:00,263.97,266.14,261.99,263.66,3652257,USD
01/03/2010 00:00,265.3,266.91,264.13,266.61,4259868,USD
02/03/2010 00:00,267.77,273.09,267.77,270.79,8396256,USD
03/03/2010 00:00,271.39,274.33,269.89,272.92,5912465,USD
04/03/2010 00:00,273.52,278.34,273.41,277.57,5888288,USD
05/03/2010 00:00,280.77,284.11,280.22,282.38,7522703,USD
08/03/2010 00:00,282.66,282.86,280.87,281.51,4522813,USD
09/03/2010 00:00,280.2,282.6,278.54,280.37,6106677,USD
10/03/2010 00:00,282.15,289.53,281.38,288.51,10852073,USD
11/03/2010 00:00,287.74,293.39,287.58,290.85,8073369,USD
12/03/2010 00:00,294.18,294.29,289.86,289.99,5257300,USD
15/03/2010 00:00,283.44,285.01,278.27,281.86,8191654,USD
16/03/2010 00:00,280.97,284.49,280.69,282.9,6000979,USD
17/03/2010 00:00,284.08,286,282.4,283.07,5890486,USD
18/03/2010 00:00,282.6,284.5,281.76,283.47,3218678,USD
19/03/2010 00:00,283.67,284.28,278.91,280.29,8961907,USD
22/03/2010 00:00,278.16,283.69,277.42,279.02,7600827,USD
23/03/2010 00:00,278.5,279.43,271.29,274.72,10418294,USD
24/03/2010 00:00,273.14,280.19,270.11,278.95,12314455,USD
25/03/2010 00:00,279.97,286.28,279.6,281.71,7300518,USD
26/03/2010 00:00,282.63,283.98,280.35,281.52,5106047,USD
29/03/2010 00:00,281.68,282.57,280.56,281.56,6027753,USD
30/03/2010 00:00,281.76,284.1,280.48,283.62,3734777,USD
31/03/2010 00:00,282.87,285.15,281.75,283.79,5675695,USD
01/04/2010 00:00,285.77,286.97,283.04,284.68,3941976,USD
05/04/2010 00:00,285.91,287.72,284.78,285.79,3592116,USD
06/04/2010 00:00,284.34,285.73,282.97,284.39,3862653,USD
07/04/2010 00:00,283.62,284.56,281.2,282.03,4832712,USD
08/04/2010 00:00,281.93,285.21,280.34,284.03,3626283,USD
09/04/2010 00:00,283.71,284.67,282.27,283.38,3868048,USD
12/04/2010 00:00,283.96,287.28,283.38,286.65,4314215,USD
13/04/2010 00:00,285.89,294.71,285.85,293.67,7231186,USD
14/04/2010 00:00,296.29,296.44,292.32,294.79,6431561,USD
15/04/2010 00:00,296.37,299.21,294.6,298.06,9396685,USD
16/04/2010 00:00,281.77,284.68,275.09,275.42,22746935,USD
19/04/2010 00:00,274.82,277.27,272.76,275.32,7347473,USD
20/04/2010 00:00,277.69,280.1,275.8,277.79,5458106,USD
21/04/2010 00:00,278.69,280.4,276.36,277.42,4425108,USD
22/04/2010 00:00,273.8,276.52,271.95,273.8,6050731,USD
23/04/2010 00:00,274.27,274.93,271.4,272.76,3797716,USD
26/04/2010 00:00,266.08,272.76,264.87,266.08,8067974,USD
27/04/2010 00:00,264.73,269.43,263.93,264.79,7086126,USD
28/04/2010 00:00,266.31,267.65,260.77,264.86,6289899,USD
29/04/2010 00:00,266.93,268.5,263.66,266.26,5736436,USD
30/04/2010 00:00,265.9,269.09,262.97,262.97,4473860,USD
03/05/2010 00:00,263.51,266.72,262.79,265.56,3521984,USD
04/05/2010 00:00,263.52,263.63,252.35,253.44,11770583,USD
05/05/2010 00:00,255.13,258.11,250.48,255.13,8633426,USD
06/05/2010 00:00,254.63,259.01,230.48,249.93,9151323,USD
07/05/2010 00:00,250.24,252.74,240.9,246.81,9722569,USD
10/05/2010 00:00,260.88,261.64,256.65,260.88,7785648,USD
11/05/2010 00:00,258,260.14,254.36,254.78,6376814,USD
12/05/2010 00:00,256.27,256.16,251.24,252.95,7450173,USD
13/05/2010 00:00,258.25,261.24,255.44,255.69,6431162,USD
14/05/2010 00:00,254.77,255.16,248.37,254.02,7909128,USD
17/05/2010 00:00,254.24,254.34,249.42,254.24,5392569,USD
18/05/2010 00:00,255.25,255.74,248.88,249.43,5423339,USD
19/05/2010 00:00,248.37,249.82,244.52,247.4,6662138,USD
20/05/2010 00:00,242.75,242.75,237.13,237.65,9497587,USD
21/05/2010 00:00,234.76,242.74,232.48,236.57,18916251,USD
24/05/2010 00:00,240.6,245.14,238.63,238.81,8467586,USD
25/05/2010 00:00,234.31,238.96,232.24,238.77,5602366,USD
26/05/2010 00:00,241.27,245.12,237.94,237.97,6716085,USD
27/05/2010 00:00,242.67,246.28,240.93,245.47,5340620,USD
28/05/2010 00:00,246.61,246.97,241.73,242.83,5553813,USD
01/06/2010 00:00,241.11,245.77,240.29,241.11,5143211,USD
