GPS_time,GPS_Open,GPS_High,GPS_Low,GPS_Close,GPS_Volume,GPS_Currency
19/02/2010 00:00,19.96,20.11,19.78,19.85,5247900,USD
22/02/2010 00:00,19.81,19.99,19.71,19.77,6410100,USD
23/02/2010 00:00,19.72,19.94,19.56,19.88,7758100,USD
24/02/2010 00:00,19.99,20.3,19.89,20.29,6152000,USD
25/02/2010 00:00,19.97,20.5,19.88,20.39,12222600,USD
26/02/2010 00:00,21.15,21.76,21.07,21.5,18772200,USD
01/03/2010 00:00,21.59,21.7,21.41,21.6,9448700,USD
02/03/2010 00:00,21.68,21.68,21.36,21.55,8259700,USD
03/03/2010 00:00,21.65,21.86,21.45,21.76,10203300,USD
04/03/2010 00:00,22.02,22.24,21.86,22.05,10650900,USD
05/03/2010 00:00,21.9,22.35,21.9,22.32,6781000,USD
08/03/2010 00:00,22.14,22.37,22.11,22.33,4144400,USD
09/03/2010 00:00,22.13,22.32,22.09,22.24,6518800,USD
10/03/2010 00:00,22.26,22.38,22.12,22.37,7306700,USD
11/03/2010 00:00,22.22,22.71,22.19,22.68,9043700,USD
12/03/2010 00:00,22.76,22.87,22.68,22.8,5089800,USD
15/03/2010 00:00,22.64,23.07,22.58,23.07,6743900,USD
16/03/2010 00:00,23.1,23.3,23.02,23.3,7146700,USD
17/03/2010 00:00,23.21,23.24,23.03,23.15,6746300,USD
18/03/2010 00:00,23.03,23.33,23.03,23.31,5896900,USD
19/03/2010 00:00,23.32,23.34,23.07,23.22,7202200,USD
22/03/2010 00:00,23.05,23.51,23.02,23.4,4418600,USD
23/03/2010 00:00,23.4,23.45,23.13,23.22,8236700,USD
24/03/2010 00:00,23.15,23.21,22.95,23.06,5645700,USD
25/03/2010 00:00,23.2,23.63,23.13,23.4,5216800,USD
26/03/2010 00:00,23.39,23.55,23.17,23.42,6098300,USD
29/03/2010 00:00,23.42,23.45,23.04,23.23,4222100,USD
30/03/2010 00:00,23.3,23.49,23.16,23.25,5656200,USD
31/03/2010 00:00,23.14,23.28,23.06,23.11,6788500,USD
01/04/2010 00:00,23.4,23.66,23.35,23.63,5969400,USD
05/04/2010 00:00,23.62,23.79,23.41,23.78,4539900,USD
06/04/2010 00:00,23.68,23.85,23.47,23.84,5941100,USD
07/04/2010 00:00,23.72,23.96,23.62,23.86,7825600,USD
08/04/2010 00:00,25,25,24.33,24.59,16486400,USD
09/04/2010 00:00,24.65,24.86,24.5,24.85,6917400,USD
12/04/2010 00:00,25,25.19,24.82,24.93,8427700,USD
