IBM_time,IBM_Open,IBM_High,IBM_Low,IBM_Close,IBM_Volume,IBM_Currency
19/02/2010 00:00,127.31,128.05,126.88,127.19,6301700,USD
22/02/2010 00:00,127.13,127.41,126.31,126.85,3792000,USD
23/02/2010 00:00,126.42,127.66,126.05,126.46,4591300,USD
24/02/2010 00:00,127,128.25,126.81,127.59,4769400,USD
25/02/2010 00:00,126.1,127.24,125.57,127.07,5650900,USD
26/02/2010 00:00,126.97,128,126.74,127.16,4783500,USD
01/03/2010 00:00,127.75,128.83,127.55,128.57,4575500,USD
02/03/2010 00:00,128.65,129.09,127.13,127.42,6010900,USD
03/03/2010 00:00,127.51,128.02,126.68,126.88,6386900,USD
04/03/2010 00:00,126.82,126.95,125.48,126.72,6030000,USD
05/03/2010 00:00,127.1,127.55,127.04,127.25,6119400,USD
08/03/2010 00:00,127.24,127.5,126.37,126.41,6198500,USD
09/03/2010 00:00,126.25,126.29,125.2,125.55,7523500,USD
10/03/2010 00:00,125.91,126.36,125.21,125.62,6905000,USD
11/03/2010 00:00,125.88,127.81,125.76,127.6,7925000,USD
12/03/2010 00:00,127.9,128.37,127.52,127.94,5168700,USD
15/03/2010 00:00,127.46,128.34,127.28,127.83,4497300,USD
16/03/2010 00:00,128.07,128.88,127.46,128.67,6116800,USD
17/03/2010 00:00,128.66,128.93,127.36,127.76,6346900,USD
18/03/2010 00:00,127.57,128.75,127.53,128.38,4942300,USD
19/03/2010 00:00,128.92,128.93,126.78,127.71,10527800,USD
22/03/2010 00:00,127.11,128.39,126.57,127.98,5649200,USD
23/03/2010 00:00,127.89,129.43,127.64,129.37,5929900,USD
24/03/2010 00:00,128.67,129.95,128.47,128.53,6667000,USD
25/03/2010 00:00,129.31,130.73,129.13,129.24,7579500,USD
26/03/2010 00:00,129,129.78,128.74,129.26,5548200,USD
29/03/2010 00:00,129.25,129.95,128.5,128.59,4633900,USD
30/03/2010 00:00,128.73,129.13,128.27,128.77,3425800,USD
31/03/2010 00:00,128.27,128.75,127.66,128.25,4897100,USD
01/04/2010 00:00,128.88,129.31,127.55,128.25,4980000,USD
05/04/2010 00:00,128.29,129.8,128.14,129.35,4118000,USD
06/04/2010 00:00,128.65,129.29,128.05,128.93,3923700,USD
07/04/2010 00:00,128.53,129.26,128.02,128.48,5091500,USD
08/04/2010 00:00,127.91,128.23,127.2,127.61,5792700,USD
09/04/2010 00:00,127.62,128.86,127.13,128.76,5183600,USD
12/04/2010 00:00,128.46,128.95,128.24,128.36,3992000,USD
13/04/2010 00:00,128.22,129.43,127.84,129.03,6811800,USD
14/04/2010 00:00,129.83,131.42,129.46,131.25,8534300,USD
15/04/2010 00:00,130.53,131.13,130.2,130.89,6422600,USD
16/04/2010 00:00,130.76,132.17,130.3,130.63,9519900,USD
19/04/2010 00:00,130.52,132.27,130.51,132.23,10699800,USD
20/04/2010 00:00,129.21,130.33,128.26,129.69,15209800,USD
21/04/2010 00:00,130,130.27,128.5,128.99,7501000,USD
22/04/2010 00:00,128.64,129.36,127.78,129.13,6015400,USD
23/04/2010 00:00,128.91,130.1,128.71,129.99,6196700,USD
26/04/2010 00:00,129.57,131.03,129.54,130.73,5276100,USD
27/04/2010 00:00,129.8,132,128.72,128.82,10900800,USD
