NVIDIA_date,NVIDIA_ouv,NVIDIA_haut,NVIDIA_bas,NVIDIA_clot,NVIDIA_vol,NVIDIA_devise
11/02/2010 00:00,16.61,17.3,16.52,17.12,15918700,USD
12/02/2010 00:00,17.1,17.7,16.81,17.35,17837600,USD
16/02/2010 00:00,17.61,17.74,17.37,17.67,10768100,USD
17/02/2010 00:00,17.89,17.9,17.33,17.86,19627100,USD
18/02/2010 00:00,16.85,16.95,16.21,16.67,35898200,USD
19/02/2010 00:00,16.6,16.78,16.5,16.57,11975100,USD
22/02/2010 00:00,16.64,16.9,16.5,16.61,11058000,USD
23/02/2010 00:00,16.65,16.73,16.04,16.21,11751300,USD
24/02/2010 00:00,16.35,16.71,16.3,16.55,10655300,USD
25/02/2010 00:00,16.2,16.44,15.76,16.4,13640100,USD
26/02/2010 00:00,16.36,16.37,16.1,16.2,8791000,USD
01/03/2010 00:00,16.14,16.93,16.1,16.85,13195100,USD
02/03/2010 00:00,16.96,17.21,16.72,16.84,12542200,USD
03/03/2010 00:00,16.94,17.03,16.49,16.63,9567100,USD
04/03/2010 00:00,16.7,16.83,16.45,16.66,13403100,USD
05/03/2010 00:00,16.63,17.29,16.54,17.16,15318800,USD
08/03/2010 00:00,17.2,17.22,16.85,16.93,10559200,USD
09/03/2010 00:00,17.09,17.72,17.09,17.55,20018900,USD
10/03/2010 00:00,17.5,17.78,17.49,17.59,9933400,USD
11/03/2010 00:00,17.45,17.51,17.12,17.19,13003800,USD
12/03/2010 00:00,17.36,17.43,17.16,17.24,12343100,USD
15/03/2010 00:00,17.2,17.4,17,17.16,7346700,USD
16/03/2010 00:00,17.15,17.86,17.14,17.76,13854300,USD
17/03/2010 00:00,17.86,18.34,17.86,18.09,13691200,USD
18/03/2010 00:00,17.95,17.98,17.3,17.46,16996200,USD
19/03/2010 00:00,17.69,17.77,17.03,17.25,13570200,USD
22/03/2010 00:00,17.16,17.6,17.03,17.53,10354400,USD
23/03/2010 00:00,17.58,17.98,17.54,17.88,11601000,USD
24/03/2010 00:00,17.79,17.79,17.26,17.29,10315000,USD
25/03/2010 00:00,17.55,17.65,17.3,17.34,11428800,USD
26/03/2010 00:00,17.49,17.67,17.2,17.34,7978800,USD
29/03/2010 00:00,17.45,17.6,17.21,17.56,9262000,USD
30/03/2010 00:00,17.75,17.85,17.33,17.63,7525800,USD
31/03/2010 00:00,17.62,17.63,17.31,17.38,8804000,USD
01/04/2010 00:00,17.48,17.68,17.04,17.22,8030600,USD
05/04/2010 00:00,17.31,17.51,17.31,17.49,8745200,USD
06/04/2010 00:00,17.26,17.3,16.75,17.05,19178400,USD
07/04/2010 00:00,16.94,17.45,16.8,17.16,19193400,USD
08/04/2010 00:00,17.05,17.16,16.79,16.88,24530700,USD
09/04/2010 00:00,16.79,17.05,16.76,16.98,19460700,USD
12/04/2010 00:00,17.29,17.37,16.98,17.29,12713100,USD
13/04/2010 00:00,17.38,17.72,17.3,17.66,15061100,USD
14/04/2010 00:00,17.97,18.12,17.6,17.9,21577000,USD
15/04/2010 00:00,17.94,18.12,17.76,18.01,22868000,USD
16/04/2010 00:00,17.31,17.35,16.68,17.06,45361200,USD
19/04/2010 00:00,16.93,17.03,16.41,16.98,25772500,USD
20/04/2010 00:00,17.1,17.28,16.84,17.04,15966500,USD
21/04/2010 00:00,17.12,17.14,16.4,16.6,21560900,USD
22/04/2010 00:00,16.33,16.71,16.1,16.67,15170800,USD
23/04/2010 00:00,16.61,16.66,16.15,16.44,17796300,USD
26/04/2010 00:00,16.46,16.79,16.43,16.61,11599100,USD
27/04/2010 00:00,16.48,16.65,16.08,16.12,14139900,USD
28/04/2010 00:00,16.12,16.39,15.83,16.16,15587500,USD
29/04/2010 00:00,16.26,16.67,15.98,16.65,23569200,USD
30/04/2010 00:00,16.45,16.47,15.7,15.72,25412400,USD
03/05/2010 00:00,15.79,15.88,15.3,15.54,26371000,USD
04/05/2010 00:00,14.75,14.75,14.53,14.75,32065600,USD
05/05/2010 00:00,14.51,14.87,14.32,14.51,31315600,USD
06/05/2010 00:00,14.26,14.7,13.09,14.26,23330900,USD
07/05/2010 00:00,14.14,14.32,13.48,13.96,27835000,USD
10/05/2010 00:00,14.59,14.59,14.4,14.59,23941500,USD
11/05/2010 00:00,14.43,14.69,14.36,14.4,20159800,USD
12/05/2010 00:00,14.48,14.76,14.41,14.68,22247300,USD
13/05/2010 00:00,14.67,15.29,14.51,14.65,28173500,USD
14/05/2010 00:00,13.66,13.7,12.6,12.96,59558300,USD
17/05/2010 00:00,12.99,13.14,12.58,12.99,21069000,USD
18/05/2010 00:00,13.1,13.18,12.49,12.56,16436700,USD
19/05/2010 00:00,12.5,12.78,12.43,12.75,20179000,USD
20/05/2010 00:00,12.39,12.76,12.01,12.43,27509800,USD
21/05/2010 00:00,12.1,13.08,12.1,12.75,26191600,USD
24/05/2010 00:00,12.69,12.84,12.33,12.36,16360500,USD
25/05/2010 00:00,11.97,12.75,11.85,12.69,22974500,USD
26/05/2010 00:00,13.2,13.39,12.71,12.76,24214700,USD
27/05/2010 00:00,13.07,13.5,13.04,13.49,17340700,USD
28/05/2010 00:00,13.48,13.48,12.94,13.14,13256700,USD
01/06/2010 00:00,12.58,13.1,12.57,12.58,12886300,USD
02/06/2010 00:00,12.6,12.74,12.52,12.72,15854300,USD
03/06/2010 00:00,12.46,12.73,12.42,12.69,14355700,USD
04/06/2010 00:00,12.31,12.55,12.03,12.09,16427700,USD
07/06/2010 00:00,12.15,12.23,11.45,11.52,13975400,USD
08/06/2010 00:00,11.44,11.44,10.89,11.17,23690300,USD
09/06/2010 00:00,10.88,11.54,10.87,10.88,16202700,USD
10/06/2010 00:00,11.13,11.4,11.11,11.36,14988500,USD
11/06/2010 00:00,11.23,11.66,11.2,11.61,10653700,USD
14/06/2010 00:00,11.79,11.8,11.33,11.36,9085600,USD
15/06/2010 00:00,11.94,11.98,11.47,11.94,12898800,USD
16/06/2010 00:00,11.77,11.95,11.61,11.77,8831900,USD
17/06/2010 00:00,12.18,12.25,11.76,12.22,21027800,USD
18/06/2010 00:00,12.29,12.45,12.2,12.3,21759200,USD
21/06/2010 00:00,12.5,12.56,11.9,12.01,14092400,USD
22/06/2010 00:00,12.16,12.31,11.5,11.56,20079200,USD
23/06/2010 00:00,11.58,11.81,11.35,11.69,14947300,USD
24/06/2010 00:00,11.62,11.62,11.07,11.11,17511100,USD
25/06/2010 00:00,11.19,11.2,10.9,11.08,12092700,USD
28/06/2010 00:00,11.1,11.26,10.9,11.1,9084600,USD
29/06/2010 00:00,10.86,10.86,10.41,10.48,15978600,USD
30/06/2010 00:00,10.21,10.61,10.21,10.21,15068700,USD
01/07/2010 00:00,10.24,10.45,9.93,10.38,18028200,USD
02/07/2010 00:00,10.42,10.44,9.9,10.26,18062600,USD
06/07/2010 00:00,10.21,10.54,10.05,10.13,17315900,USD
07/07/2010 00:00,10.18,10.69,10.16,10.64,14817800,USD
08/07/2010 00:00,10.7,10.7,10.18,10.31,19312400,USD
09/07/2010 00:00,10.31,10.42,10.22,10.35,13934400,USD
12/07/2010 00:00,10.35,10.67,10.34,10.54,13840400,USD
13/07/2010 00:00,10.71,10.99,10.65,10.92,15502400,USD
14/07/2010 00:00,11.38,11.47,10.87,11.03,30731700,USD
15/07/2010 00:00,11.04,11.05,10.59,10.72,21687700,USD
16/07/2010 00:00,10.72,10.75,10.01,10.04,29188800,USD
19/07/2010 00:00,10.19,10.5,10.12,10.46,16914500,USD
20/07/2010 00:00,10.2,10.78,10.1,10.72,25748100,USD
21/07/2010 00:00,10.37,10.37,10.27,10.37,13247400,USD
22/07/2010 00:00,10.48,10.65,10.42,10.54,9996000,USD
23/07/2010 00:00,10.53,10.54,10.26,10.36,17835400,USD
26/07/2010 00:00,10.33,10.59,10.18,10.55,14427800,USD
27/07/2010 00:00,10.6,10.6,10.33,10.46,14882300,USD
28/07/2010 00:00,10.29,10.47,10.1,10.13,25314000,USD
29/07/2010 00:00,9.39,9.6,9.07,9.13,59109700,USD
30/07/2010 00:00,9.05,9.35,8.92,9.18,21899700,USD
02/08/2010 00:00,9.35,9.18,9.14,9.18,19852400,USD
03/08/2010 00:00,9.1,9.12,8.87,8.94,20884200,USD
04/08/2010 00:00,9.02,9.35,8.98,9.32,18362800,USD
05/08/2010 00:00,9.36,9.46,9.18,9.44,17693000,USD
06/08/2010 00:00,9.4,9.65,9.32,9.55,15691400,USD
09/08/2010 00:00,9.65,9.66,9.4,9.64,11163000,USD
10/08/2010 00:00,9.48,9.48,9.2,9.25,18713000,USD
11/08/2010 00:00,9.05,9.05,8.85,8.88,19471900,USD
12/08/2010 00:00,8.72,9.16,8.65,8.96,28549200,USD
13/08/2010 00:00,9.25,9.52,9.23,9.39,44120200,USD
16/08/2010 00:00,9.27,9.45,9.03,9.15,19045000,USD
17/08/2010 00:00,9.24,9.44,9.15,9.26,11649200,USD
18/08/2010 00:00,9.23,9.4,9.19,9.32,8423700,USD
19/08/2010 00:00,9.88,9.9,9.37,9.88,37480700,USD
20/08/2010 00:00,9.97,10.21,9.97,9.97,31708800,USD
23/08/2010 00:00,10,10.25,9.79,9.82,18181900,USD
24/08/2010 00:00,9.51,9.82,9.68,9.68,15554300,USD
25/08/2010 00:00,9.61,10,9.93,9.93,18237600,USD
26/08/2010 00:00,10.05,10.16,9.8,9.8,16080800,USD
27/08/2010 00:00,9.86,10.2,9.61,10.12,26106100,USD
30/08/2010 00:00,10,10.08,9.64,9.65,14541000,USD
31/08/2010 00:00,9.5,9.8,9.3,9.33,22499300,USD
01/09/2010 00:00,9.47,9.59,9.35,9.41,21139000,USD
02/09/2010 00:00,9.4,9.59,9.34,9.57,14568900,USD
03/09/2010 00:00,9.78,9.93,9.68,9.9,13749800,USD
07/09/2010 00:00,9.87,10.22,9.85,9.98,21990600,USD
08/09/2010 00:00,10.33,10.39,9.9,10.33,29743700,USD
09/09/2010 00:00,10.18,10.46,10.05,10.18,17028200,USD
10/09/2010 00:00,10.25,10.28,9.98,10.12,14893100,USD
13/09/2010 00:00,10.25,10.77,10.25,10.64,24725500,USD
14/09/2010 00:00,10.55,10.68,10.45,10.54,17100100,USD
15/09/2010 00:00,10.41,10.57,10.3,10.56,13672400,USD
16/09/2010 00:00,10.48,10.66,10.43,10.57,8786800,USD
17/09/2010 00:00,10.57,10.68,10.52,10.57,9756300,USD
20/09/2010 00:00,10.55,10.74,10.45,10.7,10719600,USD
21/09/2010 00:00,10.65,11.47,10.65,11.28,43911900,USD
22/09/2010 00:00,11.24,11.48,11.18,11.39,24616000,USD
23/09/2010 00:00,11.5,11.98,11.42,11.62,30671300,USD
24/09/2010 00:00,11.88,12.3,11.79,12.28,26689400,USD
27/09/2010 00:00,12.34,12.34,11.84,12,24553000,USD
28/09/2010 00:00,12.01,12.14,11.76,11.98,17634800,USD
29/09/2010 00:00,11.86,12.22,11.75,11.88,23381300,USD
30/09/2010 00:00,12.03,12.17,11.58,11.68,18937800,USD
01/10/2010 00:00,11.74,11.87,11.26,11.35,24398100,USD
04/10/2010 00:00,11.24,11.43,11.01,11.24,18317000,USD
05/10/2010 00:00,11.45,11.5,11.3,11.33,18503000,USD
06/10/2010 00:00,11.32,11.37,10.67,10.78,26024900,USD
07/10/2010 00:00,10.81,10.82,10.4,10.7,18661200,USD
08/10/2010 00:00,10.66,10.95,10.51,10.86,17308500,USD
11/10/2010 00:00,10.91,11,10.76,10.81,10844100,USD
12/10/2010 00:00,10.72,11.07,10.63,11.03,14464100,USD
13/10/2010 00:00,11.2,11.5,11.08,11.34,23895300,USD
14/10/2010 00:00,11.37,11.37,11.14,11.17,14147500,USD
15/10/2010 00:00,11.31,11.47,11.16,11.29,15631100,USD
18/10/2010 00:00,11.3,11.41,11.1,11.36,10962400,USD
19/10/2010 00:00,11.1,11.37,11.02,11.28,21481300,USD
20/10/2010 00:00,11.3,11.6,11.1,11.29,18829200,USD
21/10/2010 00:00,11.3,11.32,10.92,11.09,24954200,USD
22/10/2010 00:00,11.16,11.88,11.04,11.79,32475500,USD
25/10/2010 00:00,11.89,12,11.78,11.91,16091400,USD
26/10/2010 00:00,11.77,12.05,11.67,11.87,16585500,USD
27/10/2010 00:00,11.76,12.08,11.73,12.04,12142000,USD
28/10/2010 00:00,12.2,12.24,11.94,12.05,17228400,USD
29/10/2010 00:00,12,12.15,11.9,12.03,13331800,USD
01/11/2010 00:00,12.11,12.29,11.95,12.04,11783300,USD
02/11/2010 00:00,12.09,12.48,12.02,12.29,14403700,USD
03/11/2010 00:00,12.37,12.46,12.05,12.38,16708000,USD
04/11/2010 00:00,12.5,12.63,12.38,12.4,17369600,USD
05/11/2010 00:00,12.49,12.72,12.43,12.61,18210800,USD
08/11/2010 00:00,12.52,12.77,12.5,12.65,14721300,USD
09/11/2010 00:00,12.66,12.76,12.52,12.59,15403100,USD
10/11/2010 00:00,12.68,12.74,12.5,12.74,12815500,USD
11/11/2010 00:00,12.5,12.82,12.27,12.59,25037100,USD
12/11/2010 00:00,13.03,13.68,13.03,13.26,52076000,USD
15/11/2010 00:00,13.32,13.51,13.07,13.11,17547600,USD
16/11/2010 00:00,12.9,13.06,12.69,12.72,15843400,USD
17/11/2010 00:00,12.7,13.03,12.58,12.92,12247800,USD
18/11/2010 00:00,13.09,13.45,13.09,13.32,23884900,USD
19/11/2010 00:00,13.29,13.8,13.27,13.76,17309000,USD
22/11/2010 00:00,13.66,13.84,13.54,13.76,10875400,USD
23/11/2010 00:00,13.6,13.74,13.34,13.44,10881300,USD
24/11/2010 00:00,13.58,13.82,13.57,13.77,9553400,USD
26/11/2010 00:00,13.76,13.84,13.6,13.64,3499800,USD
