Gmt time,Open,High,Low,Close,Volume
01.02.2018 00:00:00.000,10212,10299,8701,9118,8.6317
02.02.2018 00:00:00.000,9120,9184,7664,8635,7.9645
03.02.2018 00:00:00.000,8635,8635,8635,8635,0
04.02.2018 00:00:00.000,8118,8471,8102,8223,0.7766
05.02.2018 00:00:00.000,8221,8400,6641,6957,452.5166
06.02.2018 00:00:00.000,6971,7984,5982,7745,1235.36
07.02.2018 00:00:00.000,7739,8638,7240,7627,1075.96
08.02.2018 00:00:00.000,7638,8680,7627,8290,912.36
09.02.2018 00:00:00.000,8298,8777,7806,8606,753.66
10.02.2018 00:00:00.000,8606,8606,8606,8606,0
11.02.2018 00:00:00.000,8344,8380,8070,8121,65.11
12.02.2018 00:00:00.000,8123,9028,8121,8943,270.0534
13.02.2018 00:00:00.000,8945,8983,8423,8575,813.1
14.02.2018 00:00:00.000,8575,9552,8570,9530,891.96
15.02.2018 00:00:00.000,9531,10272,9398,10072,971.21
16.02.2018 00:00:00.000,10067,10346,9755,10138,808.23
17.02.2018 00:00:00.000,10138,10138,10138,10138,0
18.02.2018 00:00:00.000,10810,10815,10425,10456,80.03
19.02.2018 00:00:00.000,10450,11304,10375,11216,896.58
20.02.2018 00:00:00.000,11225,11826,11137,11274,920.43
21.02.2018 00:00:00.000,11281,11324,10300,10510,1061.08
22.02.2018 00:00:00.000,10506,10979,9784,9891,1028.35
23.02.2018 00:00:00.000,9883,10464,9642,9970,1099.545
24.02.2018 00:00:00.000,9970,9970,9970,9970,0
25.02.2018 00:00:00.000,9645,9736,9601,9628,108.1075
26.02.2018 00:00:00.000,9639,10502,9434,10370,1322.25
27.02.2018 00:00:00.000,10355,10911,10194,10634,1422.8425
28.02.2018 00:00:00.000,10640,11119,10338,10366,1341.36
01.03.2018 00:00:00.000,10373,11136,10280,10969,785.54
02.03.2018 00:00:00.000,10975,11228,10842,11080,698.99
03.03.2018 00:00:00.000,11080,11080,11080,11080,0
04.03.2018 00:00:00.000,11477,11574,11391,11548,49.68
05.03.2018 00:00:00.000,11552,11771,11467,11528,617.51
06.03.2018 00:00:00.000,11513,11527,10667,10821,743.87
07.03.2018 00:00:00.000,10800,10994,9540,10007,862.8
08.03.2018 00:00:00.000,10018,10206,9183,9405,843.37
09.03.2018 00:00:00.000,9414,9524,8486,9199,930.5
10.03.2018 00:00:00.000,9199,9199,9199,9199,0
11.03.2018 00:00:00.000,9199,9199,9199,9199,0
