GGTrends_Date,GGTrends_values
28/04/2013,3
29/04/2013,2.629213483
30/04/2013,2.629213483
01/05/2013,3.303370787
02/05/2013,3.134831461
03/05/2013,3.370786517
04/05/2013,2.797752809
05/05/2013,2
06/05/2013,2.131578947
07/05/2013,1.947368421
08/05/2013,1.763157895
09/05/2013,1.736842105
10/05/2013,1.657894737
11/05/2013,1.578947368
12/05/2013,2
13/05/2013,2.19047619
14/05/2013,2.031746032
15/05/2013,2.412698413
16/05/2013,2.253968254
17/05/2013,2.158730159
18/05/2013,2.063492063
19/05/2013,2
20/05/2013,1.769230769
21/05/2013,1.487179487
22/05/2013,1.461538462
23/05/2013,1.333333333
24/05/2013,1.512820513
25/05/2013,1.282051282
26/05/2013,2
27/05/2013,2.25
28/05/2013,2.791666667
29/05/2013,2.916666667
30/05/2013,2.541666667
31/05/2013,2.291666667
01/06/2013,2.083333333
02/06/2013,2
03/06/2013,1.793103448
04/06/2013,1.655172414
05/06/2013,1.551724138
06/06/2013,1.655172414
07/06/2013,1.655172414
08/06/2013,1.482758621
09/06/2013,2
10/06/2013,1.963636364
11/06/2013,2.072727273
12/06/2013,1.854545455
13/06/2013,1.454545455
14/06/2013,1.563636364
15/06/2013,1.490909091
16/06/2013,1
17/06/2013,1
18/06/2013,1.048780488
19/06/2013,1.024390244
20/06/2013,1.073170732
21/06/2013,1
22/06/2013,0.902439024
23/06/2013,2
24/06/2013,2.085106383
25/06/2013,1.914893617
26/06/2013,1.744680851
27/06/2013,1.957446809
28/06/2013,1.829787234
29/06/2013,1.744680851
30/06/2013,2
01/07/2013,2
02/07/2013,3.054545455
03/07/2013,2.218181818
04/07/2013,1.927272727
05/07/2013,1.927272727
06/07/2013,1.745454545
07/07/2013,2
08/07/2013,2
09/07/2013,1.955555556
10/07/2013,2
11/07/2013,1.866666667
12/07/2013,2.044444444
13/07/2013,1.822222222
14/07/2013,1
15/07/2013,1.096774194
16/07/2013,1
17/07/2013,1.032258065
18/07/2013,0.870967742
19/07/2013,0.903225806
20/07/2013,0.870967742
21/07/2013,1
22/07/2013,1.178571429
23/07/2013,1.178571429
24/07/2013,1.285714286
25/07/2013,1.142857143
26/07/2013,1.071428571
27/07/2013,1
28/07/2013,1
29/07/2013,0.875
30/07/2013,1.125
31/07/2013,1.25
01/08/2013,0.9375
02/08/2013,0.8125
03/08/2013,0.875
04/08/2013,1
05/08/2013,1.058823529
06/08/2013,0.941176471
07/08/2013,0.941176471
08/08/2013,1.117647059
09/08/2013,0.911764706
10/08/2013,0.794117647
11/08/2013,2
12/08/2013,2.620689655
13/08/2013,2.827586207
14/08/2013,3.448275862
15/08/2013,3.034482759
16/08/2013,2.689655172
17/08/2013,2.275862069
18/08/2013,2
19/08/2013,2.35
20/08/2013,2.1
21/08/2013,2.2
22/08/2013,1.9
23/08/2013,1.8
24/08/2013,1.7
25/08/2013,2
26/08/2013,1.944444444
27/08/2013,2.055555556
28/08/2013,2.055555556
29/08/2013,1.944444444
30/08/2013,1.888888889
31/08/2013,1.833333333
01/09/2013,1
02/09/2013,0.967741935
03/09/2013,1.032258065
04/09/2013,1
05/09/2013,1.032258065
06/09/2013,0.967741935
07/09/2013,0.870967742
08/09/2013,1
09/09/2013,1.166666667
10/09/2013,0.933333333
11/09/2013,0.9
12/09/2013,0.933333333
13/09/2013,0.9
14/09/2013,0.833333333
15/09/2013,1
16/09/2013,1.115384615
17/09/2013,1.038461538
18/09/2013,1.115384615
19/09/2013,1
20/09/2013,1.423076923
21/09/2013,1.153846154
22/09/2013,1
23/09/2013,1.142857143
24/09/2013,1.107142857
25/09/2013,1.178571429
26/09/2013,1.035714286
27/09/2013,1.071428571
28/09/2013,0.928571429
29/09/2013,2
30/09/2013,2.222222222
01/10/2013,2.222222222
02/10/2013,4.666666667
03/10/2013,7.407407407
04/10/2013,5.037037037
