ICE_time,ICE_Open,ICE_High,ICE_Low,ICE_Close,ICE_Volume,ICE_Currency
22/02/2010 00:00,103.81,104.22,102.59,102.76,751900,USD
23/02/2010 00:00,102.16,103.73,101.86,102.18,867400,USD
24/02/2010 00:00,103,104.47,102.51,104.2,821700,USD
25/02/2010 00:00,102.23,105.45,101.86,105.09,871000,USD
26/02/2010 00:00,106,107.47,104.79,107.29,917900,USD
01/03/2010 00:00,107.23,108.45,106.28,108.09,787800,USD
02/03/2010 00:00,108.38,109.62,107.6,108.19,990300,USD
03/03/2010 00:00,108.85,109,107.14,107.34,840000,USD
04/03/2010 00:00,107.29,109.42,107.19,108.95,821900,USD
05/03/2010 00:00,109.73,109.78,108.35,109.44,814600,USD
08/03/2010 00:00,109.3,110.4,108.36,110.22,536500,USD
09/03/2010 00:00,109.9,110.25,108.99,109.71,966200,USD
10/03/2010 00:00,109.63,110.38,108.19,110,875200,USD
11/03/2010 00:00,109.91,111.98,109.44,111.66,711900,USD
12/03/2010 00:00,111.99,112.59,109.18,110.23,952100,USD
15/03/2010 00:00,108.63,109.19,107.01,108.89,670700,USD
16/03/2010 00:00,108.97,109.45,108.02,108.71,395900,USD
17/03/2010 00:00,109.25,110.27,108.8,109.45,574600,USD
18/03/2010 00:00,109.85,111.4,108.6,109.54,608200,USD
19/03/2010 00:00,110.35,110.35,107.75,108.11,861200,USD
22/03/2010 00:00,107.56,110.16,106.96,109.88,491000,USD
23/03/2010 00:00,110.21,110.49,108.69,109.85,482800,USD
24/03/2010 00:00,109.5,111.25,108.88,110.49,689200,USD
25/03/2010 00:00,111.1,112.16,109.8,109.9,651400,USD
26/03/2010 00:00,110.41,112.25,110.17,111.08,636500,USD
29/03/2010 00:00,111.29,112,110.88,111.36,747000,USD
30/03/2010 00:00,111.36,111.5,109.93,110.36,454500,USD
31/03/2010 00:00,110.32,113.62,110.2,112.18,1268600,USD
01/04/2010 00:00,112.84,113.94,111.9,112.68,763200,USD
05/04/2010 00:00,112.65,113.01,110.04,110.39,1142400,USD
06/04/2010 00:00,108.65,108.95,105.65,107.07,1439700,USD
07/04/2010 00:00,106.88,107.51,105.75,106.17,590200,USD
08/04/2010 00:00,105.94,107.44,105.53,107.03,692400,USD
09/04/2010 00:00,107.08,108.01,106.62,107.04,587300,USD
12/04/2010 00:00,108.26,109.66,107.74,108.58,690700,USD
13/04/2010 00:00,108.75,109.44,108.33,108.92,442600,USD
14/04/2010 00:00,109.34,110.77,109.08,110.68,722600,USD
15/04/2010 00:00,110.33,111.65,110.33,111.65,630500,USD
16/04/2010 00:00,111.41,111.59,107.2,107.51,983400,USD
19/04/2010 00:00,107,109.71,106.94,109.44,581900,USD
20/04/2010 00:00,110,112.5,108.89,112.42,937800,USD
21/04/2010 00:00,112.7,112.85,110.35,111.87,571000,USD
22/04/2010 00:00,111.45,118.71,110.74,116.91,1939000,USD
23/04/2010 00:00,117.2,118.45,115.95,118.26,976300,USD
26/04/2010 00:00,118.7,122.66,118.03,120.28,1491900,USD
27/04/2010 00:00,121,121,115.62,115.82,1178400,USD
28/04/2010 00:00,117,118.08,115.3,116.45,688000,USD
29/04/2010 00:00,117.53,119.4,116.14,118.82,646500,USD
30/04/2010 00:00,118.58,119.3,116.59,116.63,773600,USD
03/05/2010 00:00,117.04,117.94,116,116.86,615000,USD
04/05/2010 00:00,115.55,115.83,113.06,113.43,617200,USD
05/05/2010 00:00,113.28,119.45,112.27,119.05,1178000,USD
06/05/2010 00:00,117.36,120.42,110,117.36,1538200,USD
07/05/2010 00:00,116.81,118.6,113.5,114.68,1295900,USD
10/05/2010 00:00,119.43,123.55,118.5,123.39,1422500,USD
11/05/2010 00:00,122.07,124.85,120.25,120.43,1716100,USD
12/05/2010 00:00,121.48,123.85,121.48,122.58,1148800,USD
13/05/2010 00:00,122.56,125,121.86,121.92,845200,USD
14/05/2010 00:00,121.28,121.28,117,118.19,954500,USD
17/05/2010 00:00,117.84,119.73,116.57,119.36,1147100,USD
18/05/2010 00:00,120.29,121.21,113.95,114.69,1311000,USD
19/05/2010 00:00,114.19,115.4,111.32,114.02,970800,USD
20/05/2010 00:00,111.49,112.99,109.47,109.78,1084900,USD
21/05/2010 00:00,107.98,115.2,107.98,115.09,1423400,USD
24/05/2010 00:00,115.58,117.8,114.16,114.18,1070800,USD
25/05/2010 00:00,111.82,114.1,109.52,114.02,991500,USD
26/05/2010 00:00,114.4,115.72,112.6,113.1,780400,USD
27/05/2010 00:00,114.74,117.45,114.67,117.35,782000,USD
28/05/2010 00:00,117.4,118.17,115.6,116.2,763900,USD
01/06/2010 00:00,115.53,118.23,115.25,115.83,794900,USD
02/06/2010 00:00,117.76,121.5,117.43,121.4,1520600,USD
03/06/2010 00:00,122.22,122.43,120.29,121.22,785200,USD
04/06/2010 00:00,118.64,120.5,117.35,118.09,1066500,USD
07/06/2010 00:00,118.26,120.41,116.88,116.97,792900,USD
08/06/2010 00:00,117.64,118.1,113.57,116.07,1096300,USD
09/06/2010 00:00,116.77,118.79,114.18,114.62,870600,USD
10/06/2010 00:00,116.95,119.19,116.25,118.94,848200,USD
11/06/2010 00:00,118.56,124,118.36,123.41,1209900,USD
14/06/2010 00:00,124.55,125.38,122.71,122.92,1129900,USD
15/06/2010 00:00,124,124.41,121.93,123.29,1271600,USD
16/06/2010 00:00,123.18,129.53,122.87,126.94,1959300,USD
17/06/2010 00:00,124,124.5,120.81,122.33,2361400,USD
18/06/2010 00:00,122.71,123.23,121.58,122.17,1108700,USD
21/06/2010 00:00,123.5,124,120.87,121.48,711800,USD
22/06/2010 00:00,121.75,123.41,119.19,119.41,666600,USD
23/06/2010 00:00,119.86,120.05,116.65,117.52,684400,USD
24/06/2010 00:00,116.4,116.85,114.29,114.52,936100,USD
25/06/2010 00:00,115.31,119.14,115,118.36,982200,USD
28/06/2010 00:00,118.88,119.22,115.9,118,999500,USD
29/06/2010 00:00,116.3,116.87,113.08,113.88,1098000,USD
30/06/2010 00:00,113.78,115.89,112.6,113.03,835800,USD
01/07/2010 00:00,113.03,114.44,109.72,112.63,813900,USD
02/07/2010 00:00,112.63,112.63,104.76,106.23,1918400,USD
06/07/2010 00:00,107.38,107.89,101.77,103.91,1607000,USD
07/07/2010 00:00,104.08,107.07,102.57,106.78,1502600,USD
08/07/2010 00:00,107.15,107.94,105.56,107.31,897600,USD
09/07/2010 00:00,107.09,108.14,105.66,106.64,822200,USD
12/07/2010 00:00,106.13,107.2,105.81,106.61,516200,USD
13/07/2010 00:00,107.7,108.59,107.29,108,671600,USD
14/07/2010 00:00,107.39,107.73,104.43,105.9,1252900,USD
15/07/2010 00:00,106.03,106.75,103.68,105.53,1024400,USD
16/07/2010 00:00,104.66,105.22,101.37,101.54,993900,USD
19/07/2010 00:00,101.79,103.57,101.5,102.89,618200,USD
20/07/2010 00:00,103.01,107.83,102.53,107.54,1221900,USD
21/07/2010 00:00,108.1,108.56,104.2,104.38,670600,USD
22/07/2010 00:00,105.96,107.46,105.25,106.52,451400,USD
23/07/2010 00:00,106.04,108.49,106.04,108.36,446300,USD
26/07/2010 00:00,108.2,108.59,106.93,108,535900,USD
27/07/2010 00:00,108.47,108.9,106.87,107.2,608900,USD
28/07/2010 00:00,107.66,108.22,106.45,106.65,377400,USD
29/07/2010 00:00,107.65,108.07,105.77,106.47,386000,USD
30/07/2010 00:00,105.1,106.47,104.15,105.62,575400,USD
02/08/2010 00:00,108,108.78,106.74,108.64,649700,USD
03/08/2010 00:00,108.25,108.37,106.75,107.41,719300,USD
04/08/2010 00:00,108.96,111.5,108.76,110.31,973800,USD
05/08/2010 00:00,109.91,109.91,108,108.96,570000,USD
06/08/2010 00:00,107.91,108.93,106.74,107.33,496800,USD
09/08/2010 00:00,107.65,108.67,106.08,108.54,664100,USD
10/08/2010 00:00,107.45,108,105.4,106.25,1003000,USD
11/08/2010 00:00,104.76,104.99,101.8,102.02,1365600,USD
12/08/2010 00:00,100.93,101.31,99.62,100.51,721100,USD
13/08/2010 00:00,100.32,100.74,95.57,96.46,1896400,USD
16/08/2010 00:00,97.38,98.61,96.18,98.21,1177300,USD
17/08/2010 00:00,98.71,100.24,97.81,99.91,1205000,USD
18/08/2010 00:00,99.55,100.02,98.67,99.69,805500,USD
19/08/2010 00:00,99.43,99.79,97.4,97.42,674800,USD
20/08/2010 00:00,96.92,97.69,96.51,97.05,807800,USD
23/08/2010 00:00,97.28,97.94,96.31,96.48,1077800,USD
24/08/2010 00:00,94.94,95.27,93.68,93.92,1503300,USD
25/08/2010 00:00,93.05,96.24,92.18,95.63,1654300,USD
26/08/2010 00:00,96.4,97.17,95.2,95.68,991000,USD
27/08/2010 00:00,96.58,97.34,95.78,97.34,1302500,USD
30/08/2010 00:00,96.85,97.28,94.38,94.42,733500,USD
31/08/2010 00:00,94,95.99,94,95.56,1139600,USD
01/09/2010 00:00,97.69,99.41,97.5,99.41,752600,USD
02/09/2010 00:00,98.9,100.76,98.58,100.65,531500,USD
03/09/2010 00:00,101.53,102.34,100.33,102.33,612100,USD
07/09/2010 00:00,101.72,103.89,101.52,103.25,1206200,USD
08/09/2010 00:00,103.29,105,103.29,104.09,902400,USD
09/09/2010 00:00,105.37,105.46,103.85,104.39,572400,USD
10/09/2010 00:00,104.54,105.99,104.39,105.52,447900,USD
13/09/2010 00:00,106.4,107.62,106.06,107.24,430500,USD
14/09/2010 00:00,107.09,107.8,106.3,106.44,654600,USD
15/09/2010 00:00,106.24,107.3,105.82,107.16,622600,USD
16/09/2010 00:00,107.16,107.32,105.54,106.22,693700,USD
17/09/2010 00:00,106.7,106.7,104.87,104.96,761600,USD
20/09/2010 00:00,105.2,105.36,103.95,104.93,1819200,USD
21/09/2010 00:00,104.96,105.47,103.1,103.49,764100,USD
22/09/2010 00:00,103.29,104.81,102.62,102.85,636300,USD
23/09/2010 00:00,102.1,102.55,100.77,101.07,1424000,USD
24/09/2010 00:00,102.46,104.67,102.46,104.53,643200,USD
27/09/2010 00:00,104.79,106,104.44,105.07,596900,USD
28/09/2010 00:00,105.1,106.03,103.98,105.84,618200,USD
29/09/2010 00:00,105.26,105.85,104.31,105.23,429500,USD
30/09/2010 00:00,106.15,107.09,104.72,104.72,646800,USD
01/10/2010 00:00,105.63,107.2,105.08,106.55,735200,USD
04/10/2010 00:00,106.04,107.81,105.87,107.36,913600,USD
05/10/2010 00:00,108,111.84,107.58,111.3,1045800,USD
06/10/2010 00:00,110.88,111.66,110.26,110.79,619500,USD
07/10/2010 00:00,111.26,112.5,110.76,111.4,663600,USD
08/10/2010 00:00,111.5,112.68,110.68,112.36,517200,USD
11/10/2010 00:00,112.32,112.57,111.68,111.98,384200,USD
12/10/2010 00:00,111.85,113.59,111.11,113.24,703500,USD
13/10/2010 00:00,113.68,115,112.8,112.94,1181200,USD
14/10/2010 00:00,112.9,113.97,112.07,112.95,885900,USD
15/10/2010 00:00,114.08,115.2,112.81,115,844700,USD
18/10/2010 00:00,115,116.9,114.4,116.79,648900,USD
19/10/2010 00:00,115.21,117.14,115.1,115.97,1023700,USD
20/10/2010 00:00,115.97,117.15,115.66,115.99,783700,USD
21/10/2010 00:00,116.44,118.36,116.12,118.18,625000,USD
22/10/2010 00:00,118.24,119.09,116.7,116.84,667700,USD
25/10/2010 00:00,117.46,117.99,115.36,115.6,1268300,USD
26/10/2010 00:00,113.25,113.89,110.74,113.17,1030500,USD
27/10/2010 00:00,112.58,114.78,112.45,114.67,530400,USD
28/10/2010 00:00,115.36,115.56,114.15,114.57,873200,USD
29/10/2010 00:00,114.23,115.56,113.95,114.87,810100,USD
01/11/2010 00:00,112.55,115.58,112.55,114.27,1286000,USD
02/11/2010 00:00,115.68,115.72,113.16,113.49,535700,USD
03/11/2010 00:00,114.05,114.05,111.36,112.5,845600,USD
04/11/2010 00:00,113.43,114.77,112.98,114.72,835000,USD
05/11/2010 00:00,114.85,117.48,114.79,117.44,933500,USD
08/11/2010 00:00,116.84,117.45,115.39,117.33,637800,USD
09/11/2010 00:00,117.5,117.5,114.89,115.13,378800,USD
10/11/2010 00:00,115.15,116.19,113.83,115.96,383400,USD
11/11/2010 00:00,114.97,115.76,114.16,114.68,419200,USD
12/11/2010 00:00,114,114.43,111.87,112.26,523800,USD
15/11/2010 00:00,112.76,114.39,112.76,113.35,440500,USD
16/11/2010 00:00,112.71,113.51,110.58,110.76,504900,USD
17/11/2010 00:00,110.93,111.81,110.5,111.68,469600,USD
18/11/2010 00:00,112.29,113.92,111.96,113.15,629500,USD
19/11/2010 00:00,113.15,115.01,112.56,114.78,652800,USD
22/11/2010 00:00,113.96,114.08,112.51,112.96,487200,USD
23/11/2010 00:00,111.68,112.83,111.44,111.81,483500,USD
24/11/2010 00:00,112.32,114.3,112.06,114.23,435900,USD
26/11/2010 00:00,113.26,114.4,112.69,113.07,271500,USD
29/11/2010 00:00,112.45,113.43,111.71,112.92,388300,USD
30/11/2010 00:00,111.77,112.99,111.35,112.7,443800,USD
01/12/2010 00:00,114.19,115.68,113.5,115.62,604500,USD
02/12/2010 00:00,115.97,120.79,115.96,120.34,919000,USD
03/12/2010 00:00,119.85,120,115.44,116.76,989100,USD
06/12/2010 00:00,116.5,118,116.34,117.94,510000,USD
07/12/2010 00:00,118.9,119.42,116.11,116.2,533700,USD
08/12/2010 00:00,116.39,118.13,116.36,118.04,455900,USD
09/12/2010 00:00,118.57,118.63,116.73,117.72,328700,USD
10/12/2010 00:00,117.72,118.22,116.82,117.55,395700,USD
13/12/2010 00:00,118.5,120.57,117.75,117.75,795100,USD
14/12/2010 00:00,117.67,117.67,115.84,116.38,447100,USD
15/12/2010 00:00,116.14,118.42,116.14,117.8,667500,USD
16/12/2010 00:00,117.8,118.38,116.39,117.37,669600,USD
17/12/2010 00:00,117.58,120.21,117.45,119.23,795800,USD
20/12/2010 00:00,120.14,120.48,118.95,119.06,418568,USD
21/12/2010 00:00,119.45,120.38,119.19,120.08,430042,USD
22/12/2010 00:00,120.08,121.89,120.08,120.45,367588,USD
23/12/2010 00:00,120.18,120.37,119.62,120,340669,USD
27/12/2010 00:00,119.55,120.9,119.55,120.86,322416,USD
